# Data set obtained from E. D. Knechtel and W. C. Pitts, 1964 (Experimental Investigation of Electric Drag on Satellites)
# alpha [-]          Fc/Fn
0.25695216907675195, 1.109489051094891
0.2502780867630701, 1.1751824817518246
0.31701890989988873, 1.1806569343065698
0.31701890989988873, 1.2846715328467155
0.4471635150166851, 1.35036496350365
0.46384872080088985, 1.2901459854014603
0.5038932146829811, 1.3339416058394162
0.4972191323692992, 1.4270072992700729
0.6573971078976641, 1.6514598540145986
0.6573971078976641, 1.4817518248175188
0.7474972191323692, 1.5802919708029197
0.7441601779755285, 1.6843065693430663
0.9410456062291435, 1.7937956204379564
0.9410456062291435, 1.7335766423357666
1.0011123470522802, 1.788321167883212
1.0011123470522802, 1.8485401459854018
0.9977753058954393, 1.9306569343065694
1.2513904338153505, 2.248175182481752
1.2547274749721915, 2.1277372262773726
1.3548387096774193, 2.144160583941606
1.3448275862068966, 2.385036496350365
1.4482758620689657, 2.2755474452554747
1.4482758620689657, 2.144160583941606
1.665183537263626, 2.4014598540145986
1.6718576195773083, 2.7408759124087596
1.9087875417130147, 2.7354014598540153
1.9021134593993327, 2.5054744525547448
2.399332591768632, 2.8065693430656937
2.395995550611791, 3.1186131386861318
