# Data set obtained from E. D. Knechtel and W. C. Pitts, 1964 (Experimental Investigation of Electric Drag on Satellites)
# alpha [-]          Fc/Fn
0.23463687150837986, 1.2743710691823904
0.23463687150837986, 1.3349056603773595
0.23463687150837986, 1.389937106918239
0.31508379888268145, 1.4944968553459126
0.31508379888268145, 1.433962264150944
0.31508379888268145, 1.373427672955975
0.683798882681564, 1.9237421383647804
0.683798882681564, 1.8577044025157239
0.6804469273743015, 1.8301886792452837
0.7139664804469272, 1.8962264150943398
0.7139664804469272, 1.9567610062893088
0.7106145251396645, 2.0283018867924536
0.9888268156424578, 2.435534591194969
0.9921787709497205, 2.3750000000000004
0.9821229050279328, 2.2814465408805034
0.9821229050279328, 2.198899371069183
0.9854748603351955, 2.1328616352201264
1.243575418994413, 2.7767295597484285
1.2402234636871505, 2.7161949685534594
1.243575418994413, 2.661163522012579
1.243575418994413, 2.6116352201257866
1.3374301675977651, 3.0243710691823904
1.4379888268156422, 3.002358490566038
1.4312849162011172, 2.9253144654088055
1.4379888268156422, 2.8207547169811327
1.3441340782122904, 2.8592767295597485
1.3441340782122904, 2.7987421383647804
1.6592178770949717, 3.216981132075472
1.6592178770949717, 3.305031446540881
1.8804469273743014, 3.6187106918239
1.8938547486033515, 3.5691823899371076
1.8938547486033515, 3.4536163522012586
1.6558659217877092, 3.728773584905661
2.373184357541899, 4.273584905660378
2.373184357541899, 4.1415094339622645
2.3798882681564244, 4.080974842767296
0.49273743016759763, 1.7256289308176105
0.49273743016759763, 1.6816037735849059
0.49273743016759763, 1.577044025157233
0.49273743016759763, 1.5220125786163528
